"주연","총횟수","cluster","횟수","누적관객수__개봉일스크린수","누적관객수__스크린수","누적관객수__상영횟수","평균_관람객_개스크","평균_관람객_스크","평균_관람객_상횟","관람객개스크점수"
"김상경",10,3,4,26939.7961597317,23371.9889712181,182.324778489632,6734.94903993293,5842.99724280454,45.581194622408,13469.8980798659
"김상경",10,4,0,0,0,0,0,0,0,0
"김상중",4,1,1,2376.69822485207,2243.9217877095,31.5226808978182,2376.69822485207,2243.9217877095,31.5226808978182,2376.69822485207
"김상중",4,2,2,19346.0311409701,16554.6206322686,137.10332455384,9673.01557048505,8277.31031613432,68.55166227692,13679.7098088261
"김상중",4,3,0,0,0,0,0,0,0,0
"김상중",4,4,1,4015.71729587357,3027.06949040371,40.1437799504994,4015.71729587357,3027.06949040371,40.1437799504994,4015.71729587357
"김상호",36,1,9,47922.3516686253,40942.8758013885,324.022266985612,5324.70574095837,4549.2084223765,36.0024741095125,15974.1172228751
"김상호",36,2,11,53418.2879044018,43184.548129203,387.168113206517,4856.20799130925,3925.86801174572,35.1971012005925,16106.2198110983
"김상호",36,3,14,53006.1861842334,46975.6451442059,523.648108673714,3786.15615601667,3355.40322458614,37.4034363338367,14166.4991486394
"김상호",36,4,2,3829.6363744934,3707.65853061636,65.5817030387764,1914.8181872467,1853.82926530818,32.7908515193882,2707.96184988295
"김새론",6,1,1,479.078853046595,467.353146853147,12.9468229368462,479.078853046595,467.353146853147,12.9468229368462,479.078853046595
"김새론",6,2,3,15967.1600863148,13251.0188880467,77.1523876001188,5322.38669543826,4417.00629601556,25.7174625333729,9218.64417402769
"김새론",6,3,2,5839.67882152766,4688.70597127223,62.4580170345415,2919.83941076383,2344.35298563611,31.2290085172708,4129.27649465367
"김새론",6,4,0,0,0,0,0,0,0,0
"김성규",7,1,2,607.911896913395,520.082596956308,43.8716965258105,303.955948456698,260.041298478154,21.9358482629053,429.858624671439
"김성규",7,2,2,13953.0030930931,7666.61025497651,77.4736304676519,6976.50154654655,3833.30512748826,38.736815233826,9866.263105043
"김성규",7,3,2,6457.66278566992,5347.37268776004,63.7807767093646,3228.83139283496,2673.68634388002,31.8903883546823,4566.25714636321
"김성규",7,4,1,1246.76383476228,1184.0103626943,26.3572970390021,1246.76383476228,1184.0103626943,26.3572970390021,1246.76383476228
