"영화명","개봉일","매출액","누적매출액","관객수","누적관객수","스크린수","상영횟수","제작사","배급사","등급","장르","감독","배우"
"어린여동생-무삭제",2019-09-13,5000,5000,1,1,1,1,"스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","정민용",""
"어린장모-무삭제",2018-06-15,5000,5000,1,1,1,1,"스마일컨텐츠","스마일컨텐츠","청소년관람불가","멜로/로맨스","최은정",""
"어쩌다 옥탑방",2019-04-17,1000,1000,1,1,1,1,"고구마콘텐츠허브(주)","고구마콘텐츠허브(주)","15세이상관람가","SF,판타지","최병욱","이우룡"
"엄마 애인 -무삭제판",2018-04-18,2000,2000,1,1,1,1,"모히또필름","(주)에이블엔터테인먼트","청소년관람불가","멜로/로맨스","정진호",""
"엄마 애인 2 - 무삭제판",2019-05-14,2000,2000,1,1,1,1,"너바나 필름","(주)컨텐츠 빌리지","청소년관람불가","멜로/로맨스","최우성",""
"엄마 애인 3 - 무삭제판",2019-07-30,1000,1000,1,1,1,1,"너바나 필름","(주)컨텐츠 빌리지","청소년관람불가","멜로/로맨스","정진호",""
"엄마 친구 : 그녀의 섹스고백 무삭제판",2018-01-09,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","최강호",""
"엄마 친구들과의 정사(감독판)",2018-10-12,5000,5000,1,1,1,1,"(주)소나무픽쳐스","(주)소나무픽쳐스","청소년관람불가","멜로/로맨스","강정훈",""
"엄마의 연애 무삭제",2018-11-06,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","임현태",""
"엄마의 정사",2018-08-14,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이상민",""
"엄마의 정사 무삭제",2019-05-28,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이상민",""
"엄마친구 4 무삭제",2018-06-04,6000,6000,1,1,1,1,"(주)영화사 사계절","(주)영화사 사계절","청소년관람불가","멜로/로맨스","채준우",""
"엄마친구 5 무삭제판",2018-11-07,6000,6000,1,1,1,1,"(주)영화사 사계절","(주)영화사 사계절","청소년관람불가","멜로/로맨스","명석환",""
"엄마친구들 2 무삭제",2018-11-08,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","임현태",""
"엄마친구들 3 무삭제",2019-11-21,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","정수",""
"엄마친구들 무삭제",2018-04-26,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","이리단",""
"엄마친구의 섹스 무삭제판",2018-01-11,6000,6000,1,1,1,1,"(주)영화사가을","(주)영화사가을","청소년관람불가","멜로/로맨스","최강호",""
